,targetId_diseaseId,affected_pathway,animal_model,genetic_association,known_drug,literature,rna_expression,somatic_mutation,drugId,targetId,approvedSymbol,diseaseId,label,phase,drugType,mechanismOfAction,id,name,therapeuticAreas,tissue_general,n_donors,disease_name,disease_ontology_id,targetId_diseaseId_CHEMBL
3923,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1201468,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor agonist,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1201468
21504,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201611,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201611
3921,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1358,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor antagonist,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1358
21592,ENSG00000172572_MONDO_0005148,0.0,0.0,0.5975102108580291,0.865457038266544,0.0,0.0,0.0,CHEMBL799,ENSG00000172572,PDE3A,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Phosphodiesterase 3A inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000172572_MONDO_0005148_CHEMBL799
21593,ENSG00000172572_MONDO_0005148,0.0,0.0,0.5975102108580291,0.865457038266544,0.0,0.0,0.0,CHEMBL628,ENSG00000172572,PDE3A,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000172572_MONDO_0005148_CHEMBL628
3886,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1655,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor modulator,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1655
3883,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1201649,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor agonist,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1201649
21599,ENSG00000174886_MONDO_0005148,0.0,0.0,0.0,0.9992202508162835,0.0,0.0,0.0,CHEMBL1431,ENSG00000174886,NDUFA11,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000174886_MONDO_0005148_CHEMBL1431
3881,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1116,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor beta modulator,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1116
17230,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL1073,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL1073
21586,ENSG00000171408_MONDO_0005148,0.0,0.0,0.0,0.607930797611621,0.024317231904464845,0.0,0.0,CHEMBL628,ENSG00000171408,PDE7B,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171408_MONDO_0005148_CHEMBL628
8666,ENSG00000095303_MONDO_0100096,0.0,0.0,0.0,0.8544318805504201,0.0,0.0,0.0,CHEMBL521,ENSG00000095303,PTGS1,MONDO_0100096,COVID-19,4,Small molecule,Cyclooxygenase inhibitor,MONDO_0100096,COVID-19,"['MONDO_0100336', 'EFO_0005741']",respiratory system,6,COVID-19,MONDO_0100096,ENSG00000095303_MONDO_0100096_CHEMBL521
21579,ENSG00000171298_MONDO_0005148,0.0,0.0,0.0,0.9444771643827812,0.08814996565368505,0.0,0.0,CHEMBL1561,ENSG00000171298,GAA,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Lysosomal alpha-glucosidase inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171298_MONDO_0005148_CHEMBL1561
3919,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL1200675,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor modulator,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL1200675
21581,ENSG00000171298_MONDO_0005148,0.0,0.0,0.0,0.9444771643827812,0.08814996565368505,0.0,0.0,CHEMBL476960,ENSG00000171298,GAA,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Alpha glucosidase inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171298_MONDO_0005148_CHEMBL476960
3906,ENSG00000140009_MONDO_0007254,0.0,0.0,0.0,0.9857800899119262,0.9027615101094699,0.0,0.0,CHEMBL81,ENSG00000140009,ESR2,MONDO_0007254,breast cancer,4,Small molecule,Estrogen receptor beta modulator,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000140009_MONDO_0007254_CHEMBL81
8559,ENSG00000094755_MONDO_0100096,0.0,0.0,0.0,0.8508160382240639,0.0,0.11270781589008903,0.0,CHEMBL1200694,ENSG00000094755,GABRP,MONDO_0100096,COVID-19,4,Small molecule,GABA-A receptor; anion channel positive allosteric modulator,MONDO_0100096,COVID-19,"['MONDO_0100336', 'EFO_0005741']",nose,28,COVID-19,MONDO_0100096,ENSG00000094755_MONDO_0100096_CHEMBL1200694
4076,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL1201585,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Antibody,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL1201585
21418,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201539,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201539
4094,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL2007641,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Antibody,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL2007641
4092,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL180022,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL180022
4088,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL2364649,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Antibody,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL2364649
21429,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201496,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201496
21414,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201545,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201545
4121,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL4297844,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Antibody,Receptor protein-tyrosine kinase erbB-2 binding agent,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL4297844
4103,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL3989868,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL3989868
4112,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL1743082,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Antibody,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL1743082
14524,ENSG00000196664_MONDO_0100096,0.0,0.0,0.0,0.9864273716913836,0.2554881865570403,0.0,0.0,CHEMBL1535,ENSG00000196664,TLR7,MONDO_0100096,COVID-19,4,Small molecule,Toll-like receptor 7 antagonist,MONDO_0100096,COVID-19,"['MONDO_0100336', 'EFO_0005741']",nose,28,COVID-19,MONDO_0100096,ENSG00000196664_MONDO_0100096_CHEMBL1535
21473,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201664,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201664
21481,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL2104391,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL2104391
4035,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL3989921,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL3989921
17287,ENSG00000015520_MONDO_0005148,0.0,0.0,0.0,0.8386574222718315,0.06965873722633158,0.0,0.0,CHEMBL1138,ENSG00000015520,NPC1L1,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Niemann-Pick C1-like protein 1 inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000015520_MONDO_0005148_CHEMBL1138
4058,ENSG00000141736_MONDO_0007254,0.0,0.0,0.0,0.9925395775515078,0.9983658387095764,0.0,0.0,CHEMBL3544956,ENSG00000141736,ERBB2,MONDO_0007254,breast cancer,4,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000141736_MONDO_0007254_CHEMBL3544956
3678,ENSG00000137285_MONDO_0007254,0.0,0.0,0.0,0.9964452420002713,0.0,0.0,0.0,CHEMBL1683544,ENSG00000137285,TUBB2B,MONDO_0007254,breast cancer,4,Small molecule,Tubulin inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000137285_MONDO_0007254_CHEMBL1683544
17151,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL498,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL498
3705,ENSG00000137285_MONDO_0007254,0.0,0.0,0.0,0.9964452420002713,0.0,0.0,0.0,CHEMBL428647,ENSG00000137285,TUBB2B,MONDO_0007254,breast cancer,4,Small molecule,Tubulin inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000137285_MONDO_0007254_CHEMBL428647
17148,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL1272,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL1272
17146,ENSG00000004948_MONDO_0005148,0.0,0.0,0.6108254795272562,0.9321941479222045,0.06794977620637892,0.0,0.0,CHEMBL2103758,ENSG00000004948,CALCR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Amylin receptor AMY2; CALCR/RAMP2 agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000004948_MONDO_0005148_CHEMBL2103758
12712,ENSG00000160868_MONDO_0100096,0.0,0.0,0.0,0.9575464419587998,0.07498478310248197,0.0,0.0,CHEMBL163,ENSG00000160868,CYP3A4,MONDO_0100096,COVID-19,4,Small molecule,Cytochrome P450 3A inhibitor,MONDO_0100096,COVID-19,"['MONDO_0100336', 'EFO_0005741']",blood,509,COVID-19,MONDO_0100096,ENSG00000160868_MONDO_0100096_CHEMBL163
21749,ENSG00000178057_MONDO_0005148,0.0,0.0,0.0,0.9992202508162835,0.0,0.0,0.0,CHEMBL1431,ENSG00000178057,NDUFAF3,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000178057_MONDO_0005148_CHEMBL1431
21751,ENSG00000178057_MONDO_0005148,0.0,0.0,0.0,0.9992202508162835,0.0,0.0,0.0,CHEMBL1703,ENSG00000178057,NDUFAF3,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000178057_MONDO_0005148_CHEMBL1703
17142,ENSG00000004948_MONDO_0005148,0.0,0.0,0.6108254795272562,0.9321941479222045,0.06794977620637892,0.0,0.0,CHEMBL3833353,ENSG00000004948,CALCR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Amylin receptor AMY2; CALCR/RAMP2 agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000004948_MONDO_0005148_CHEMBL3833353
3739,ENSG00000137285_MONDO_0007254,0.0,0.0,0.0,0.9964452420002713,0.0,0.0,0.0,CHEMBL1683590,ENSG00000137285,TUBB2B,MONDO_0007254,breast cancer,4,Small molecule,Tubulin inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000137285_MONDO_0007254_CHEMBL1683590
3736,ENSG00000137285_MONDO_0007254,0.0,0.0,0.0,0.9964452420002713,0.0,0.0,0.0,CHEMBL92,ENSG00000137285,TUBB2B,MONDO_0007254,breast cancer,4,Small molecule,Tubulin inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000137285_MONDO_0007254_CHEMBL92
3727,ENSG00000137285_MONDO_0007254,0.0,0.0,0.0,0.9964452420002713,0.0,0.0,0.0,CHEMBL3545252,ENSG00000137285,TUBB2B,MONDO_0007254,breast cancer,4,Small molecule,Tubulin inhibitor,MONDO_0007254,breast cancer,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']",breast,40,breast cancer,MONDO_0007254,ENSG00000137285_MONDO_0007254_CHEMBL3545252
17154,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL472,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL472
17224,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL782,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL782
