,id,name,therapeuticAreas,therapeuticAreas_text,cxg_matched_id
87,MONDO_0002316,motor peripheral neuropathy,['EFO_0000618'],['nervous system disease'],MONDO_0002316
88,MONDO_0002358,laryngeal carcinoma,"['OTAR_0000010', 'MONDO_0045024']","['respiratory or thoracic disease', 'cancer or benign tumor']",MONDO_0002358
89,MONDO_0002721,necrosis of pituitary,"['EFO_0001379', 'EFO_0000618']","['endocrine system disease', 'nervous system disease']",MONDO_0002721
90,MONDO_0002863,rhabdomyosarcoma with mixed embryonal and alveolar features,"['OTAR_0000006', 'MONDO_0045024']","['musculoskeletal or connective tissue disease', 'cancer or benign tumor']",MONDO_0002863
91,MONDO_0003376,mediastinum leiomyosarcoma,"['OTAR_0000006', 'EFO_0005741', 'MONDO_0045024', 'MONDO_0100336']","['musculoskeletal or connective tissue disease', 'infectious disease', 'cancer or benign tumor', 'infectious disease or post-infectious disorder']",MONDO_0003376
92,MONDO_0003624,acinic cell breast carcinoma,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']","['reproductive system or breast disease', 'cancer or benign tumor', 'integumentary system disease']",MONDO_0003624
93,MONDO_0008007,tooth ankylosis,"['OTAR_0000006', 'OTAR_0000018', 'EFO_0010282']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease', 'gastrointestinal disease']",MONDO_0008007
94,MONDO_0008058,cylindrical spirals myopathy,['OTAR_0000006'],['musculoskeletal or connective tissue disease'],MONDO_0008058
95,MONDO_0008706,Ackerman syndrome,"['OTAR_0000018', 'EFO_0010285']","['genetic, familial or congenital disease', 'integumentary system disease']",MONDO_0008706
96,MONDO_0009780,lethal omphalocele-cleft palate syndrome,"['MONDO_0002025', 'OTAR_0000018', 'EFO_0000618']","['psychiatric disorder', 'genetic, familial or congenital disease', 'nervous system disease']",MONDO_0009780
97,MONDO_0009866,"phosphoenolpyruvate carboxykinase deficiency, cytosolic","['OTAR_0000018', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nutritional or metabolic disease']",MONDO_0009866
98,MONDO_0009973,reticular dysgenesis,"['OTAR_0000018', 'EFO_0000540']","['genetic, familial or congenital disease', 'immune system disease']",MONDO_0009973
99,MONDO_0010275,"spondyloepimetaphyseal dysplasia, Bieganski type","['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",MONDO_0010275
100,MONDO_0011469,congenital amegakaryocytic thrombocytopenia,"['OTAR_0000018', 'EFO_0005803']","['genetic, familial or congenital disease', 'hematologic disease']",MONDO_0011469
101,MONDO_0011725,Crigler-Najjar syndrome type 2,"['OTAR_0000018', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nutritional or metabolic disease']",MONDO_0011725
102,MONDO_0012282,Al-Gazali syndrome,"['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",MONDO_0012282
103,MONDO_0012907,blindness - scoliosis - arachnodactyly syndrome,"['OTAR_0000018', 'MONDO_0024458']","['genetic, familial or congenital disease', 'disorder of visual system']",MONDO_0012907
104,MONDO_0013090,chromosome 19q13.11 deletion syndrome,"['MONDO_0002025', 'OTAR_0000018', 'EFO_0000618']","['psychiatric disorder', 'genetic, familial or congenital disease', 'nervous system disease']",MONDO_0013090
105,MONDO_0013730,graft versus host disease,['EFO_0000540'],['immune system disease'],MONDO_0013730
106,MONDO_0013811,combined oxidative phosphorylation defect type 9,"['OTAR_0000018', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nutritional or metabolic disease']",MONDO_0013811
107,MONDO_0014024,hereditary spastic paraplegia 43,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",MONDO_0014024
108,MONDO_0014369,postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,"['OTAR_0000006', 'OTAR_0000018', 'EFO_0001379']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease', 'endocrine system disease']",MONDO_0014369
109,MONDO_0015104,porphyria cutanea tarda,"['OTAR_0000020', 'EFO_0001379', 'EFO_0010285', 'EFO_0010282']","['nutritional or metabolic disease', 'endocrine system disease', 'integumentary system disease', 'gastrointestinal disease']",MONDO_0015104
110,MONDO_0015130,acquired chronic primary adrenal insufficiency,['EFO_0001379'],['endocrine system disease'],MONDO_0015130
111,MONDO_0016001,2-hydroxyglutaric aciduria,"['OTAR_0000018', 'EFO_0000618', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nervous system disease', 'nutritional or metabolic disease']",MONDO_0016001
112,MONDO_0016512,Kabuki syndrome,"['MONDO_0002025', 'MONDO_0024458', 'EFO_0000618', 'OTAR_0000018']","['psychiatric disorder', 'disorder of visual system', 'nervous system disease', 'genetic, familial or congenital disease']",MONDO_0016512
113,MONDO_0016866,partial deletion of chromosome 1,['OTAR_0000018'],"['genetic, familial or congenital disease']",MONDO_0016866
114,MONDO_0017173,non-syndromic male infertility due to sperm motility disorder,['OTAR_0000017'],['reproductive system or breast disease'],MONDO_0017173
115,MONDO_0017523,"polydactyly of a biphalangeal thumb, unilateral","['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",MONDO_0017523
116,MONDO_0018894,distal hereditary motor neuropathy,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",MONDO_0018894
117,MONDO_0018963,hereditary methemoglobinemia,"['OTAR_0000018', 'EFO_0005803']","['genetic, familial or congenital disease', 'hematologic disease']",MONDO_0018963
118,MONDO_0019138,bleeding diathesis due to a collagen receptor defect,"['OTAR_0000018', 'EFO_0005803']","['genetic, familial or congenital disease', 'hematologic disease']",MONDO_0019138
119,MONDO_0019867,mosaic trisomy 8,['OTAR_0000018'],"['genetic, familial or congenital disease']",MONDO_0019867
120,MONDO_0020638,superficial spreading melanoma,"['MONDO_0045024', 'EFO_0001379', 'EFO_0010285']","['cancer or benign tumor', 'endocrine system disease', 'integumentary system disease']",MONDO_0020638
121,MONDO_0021180,acquired xanthinuria,['OTAR_0000020'],['nutritional or metabolic disease'],MONDO_0021180
122,MONDO_0021681,sexually transmitted disease,"['MONDO_0100336', 'EFO_0005741']","['infectious disease or post-infectious disorder', 'infectious disease']",MONDO_0021681
123,MONDO_0022759,trisomy 22,['OTAR_0000018'],"['genetic, familial or congenital disease']",MONDO_0022759
124,MONDO_0024880,metastatic malignant neoplasm,['MONDO_0045024'],['cancer or benign tumor'],MONDO_0024880
125,MONDO_0054565,short-rib thoracic dysplasia 17 with or without polydactyly,"['OTAR_0000006', 'OTAR_0000018', 'EFO_0009690', 'OTAR_0000010']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease', 'urinary system disease', 'respiratory or thoracic disease']",MONDO_0054565
126,MONDO_0054728,spermatogenic failure 24,"['OTAR_0000017', 'OTAR_0000018']","['reproductive system or breast disease', 'genetic, familial or congenital disease']",MONDO_0054728
127,MONDO_0060596,neurodevelopmental disorder with dysmorphic facies and distal limb anomalies,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",MONDO_0060596
128,MONDO_0060758,"spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits","['MONDO_0002025', 'MONDO_0024458', 'EFO_0000618', 'OTAR_0000018']","['psychiatric disorder', 'disorder of visual system', 'nervous system disease', 'genetic, familial or congenital disease']",MONDO_0060758
129,MONDO_0700055,KIF1A related neurological disorder,['EFO_0000618'],['nervous system disease'],MONDO_0700055
130,Orphanet_1188,Ataxia-deafness-intellectual disability syndrome,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",Orphanet_1188
131,Orphanet_1275,Brachydactyly - elbow wrist dysplasia,"['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",Orphanet_1275
132,Orphanet_3232,Deafness - ear malformation - facial palsy,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",Orphanet_3232
133,Orphanet_399771,Male infertility due to sperm disorder,"['OTAR_0000017', 'OTAR_0000018']","['reproductive system or breast disease', 'genetic, familial or congenital disease']",Orphanet_399771
134,Orphanet_79137,Generalized epilepsy - paroxysmal dyskinesia,['OTAR_0000018'],"['genetic, familial or congenital disease']",Orphanet_79137
135,Orphanet_99177,Isolated distichiasis,"['OTAR_0000018', 'MONDO_0024458']","['genetic, familial or congenital disease', 'disorder of visual system']",Orphanet_99177
136,EFO_0000195,metabolic syndrome,['OTAR_0000020'],['nutritional or metabolic disease'],EFO_0000195
137,EFO_0004783,TEMPS-A questionnaire,['EFO_0001444'],['measurement'],EFO_0004783
138,EFO_0005205,response to dabigatran etexilate,['GO_0008150'],['biological process'],EFO_0005205
139,EFO_0005628,proctitis,"['OTAR_0000018', 'EFO_0000540', 'EFO_0010282']","['genetic, familial or congenital disease', 'immune system disease', 'gastrointestinal disease']",MONDO_0005538
140,EFO_0005771,ovarian disease,"['OTAR_0000017', 'EFO_0001379']","['reproductive system or breast disease', 'endocrine system disease']",MONDO_0005558
141,EFO_0007795,anxiety disorder measurement,['EFO_0001444'],['measurement'],EFO_0007795
142,EFO_0007857,facial depth measurement,['EFO_0001444'],['measurement'],EFO_0007857
143,EFO_0009312,proprotein convertase subtilisin/kexin type 9 measurement,['EFO_0001444'],['measurement'],EFO_0009312
144,EFO_0009650,hyperproinsulinemia,['OTAR_0000018'],"['genetic, familial or congenital disease']",MONDO_0014535
145,EFO_0009669,flatulence,['EFO_0010282'],['gastrointestinal disease'],EFO_0009669
146,EFO_0009891,carbamazepine metabolite measurement,['EFO_0001444'],['measurement'],EFO_0009891
147,EFO_0010070,nerve conduction amplitude,['EFO_0001444'],['measurement'],EFO_0010070
148,EFO_0010080,geographic atrophy lesion growth,['EFO_0001444'],['measurement'],EFO_0010080
149,EFO_0010235,response to proton-pump inhibitor,['GO_0008150'],['biological process'],EFO_0010235
150,EFO_0010266,Charcot-Marie-Tooth disease type 1G,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",EFO_0010266
151,EFO_0010269,amenorrhea,"['OTAR_0000017', 'EFO_0001379']","['reproductive system or breast disease', 'endocrine system disease']",EFO_0010269
152,EFO_0010600,angiopoietin-1 receptor measurement,['EFO_0001444'],['measurement'],EFO_0010600
153,EFO_0010740,Diets-Jongmans syndrome,['OTAR_0000018'],"['genetic, familial or congenital disease']",EFO_0010740
154,EFO_0011009,glycochenodeoxycholate 3-O-glucuronide measurement,['EFO_0001444'],['measurement'],EFO_0011009
155,EFO_0020052,diacylglycerol 30:0 measurement,['EFO_0001444'],['measurement'],EFO_0020052
156,EFO_0020266,coagulation factor XA measurement,['EFO_0001444'],['measurement'],EFO_0020266
157,EFO_0020657,proliferating cell nuclear antigen measurement,['EFO_0001444'],['measurement'],EFO_0020657
158,EFO_0020735,serotransferrin measurement,['EFO_0001444'],['measurement'],EFO_0020735
159,EFO_0020916,performance enhancing product use,"['MONDO_0002025', 'OTAR_0000009']","['psychiatric disorder', 'injury, poisoning or other complication']",EFO_0020916
160,EFO_0021053,3-carboxy-4-methyl-5-propyl-2-furanpropanoate CMPF measurement,['EFO_0001444'],['measurement'],EFO_0021053
161,EFO_0021128,cycloleu-pro measurement,['EFO_0001444'],['measurement'],EFO_0021128
162,EFO_0021181,X-01911 measurement,['EFO_0001444'],['measurement'],EFO_0021181
163,EFO_0021183,X-02269 measurement,['EFO_0001444'],['measurement'],EFO_0021183
164,EFO_0021322,X-12704 measurement,['EFO_0001444'],['measurement'],EFO_0021322
165,EFO_0021532,blood titanium measurement,['EFO_0001444'],['measurement'],EFO_0021532
166,EFO_0021575,Adipic acid measurement,['EFO_0001444'],['measurement'],EFO_0021575
167,EFO_0021588,D-Malic acid measurement,['EFO_0001444'],['measurement'],EFO_0021588
168,EFO_0021618,L-Histidine measurement,['EFO_0001444'],['measurement'],EFO_0021618
169,EFO_0021759,3-Indolepropionic acid to S-Sulfo-L-cysteine ratio,['EFO_0001444'],['measurement'],EFO_0021759
170,EFO_0021794,CFTR mutation carrier status,['EFO_0001444'],['measurement'],EFO_0021794
171,EFO_0800078,vanillactate measurement,['EFO_0001444'],['measurement'],EFO_0800078
172,EFO_0800118,N-acetylalanine measurement,['EFO_0001444'],['measurement'],EFO_0800118
173,EFO_0800137,2-aminoadipate measurement,['EFO_0001444'],['measurement'],EFO_0800137
174,EFO_0800345,margaroylcarnitine (C17) measurement,['EFO_0001444'],['measurement'],EFO_0800345
175,EFO_0800545,eicosenoylcarnitine (C20:1) measurement,['EFO_0001444'],['measurement'],EFO_0800545
176,EFO_0800621,myo-inositol measurement,['EFO_0001444'],['measurement'],EFO_0800621
177,EFO_0800816,X-21448 measurement,['EFO_0001444'],['measurement'],EFO_0800816
178,EFO_0800907,X-24811 measurement,['EFO_0001444'],['measurement'],EFO_0800907
179,EFO_0800982,2-aminophenol sulfate measurement,['EFO_0001444'],['measurement'],EFO_0800982
180,EFO_0801646,glycoprotein Xg measurement,['EFO_0001444'],['measurement'],EFO_0801646
181,EFO_0802078,sodium/potassium-transporting ATPase subunit beta-2 measurement,['EFO_0001444'],['measurement'],EFO_0802078
182,EFO_0802287,argininosuccinate lyase measurement,['EFO_0001444'],['measurement'],EFO_0802287
183,EFO_0802494,dual specificity protein phosphatase 15 measurement,['EFO_0001444'],['measurement'],EFO_0802494
184,EFO_0802645,interferon beta measurement,['EFO_0001444'],['measurement'],EFO_0802645
185,EFO_0802696,leucine-rich repeat transmembrane neuronal protein 2 measurement,['EFO_0001444'],['measurement'],EFO_0802696
186,EFO_0802956,protein phosphatase 1 regulatory subunit 3B measurement,['EFO_0001444'],['measurement'],EFO_0802956
187,EFO_0803042,SAGA-associated factor 29 homolog measurement,['EFO_0001444'],['measurement'],EFO_0803042
188,EFO_1000112,Benign Ovarian Brenner Tumor,"['OTAR_0000017', 'EFO_0001379', 'MONDO_0045024']","['reproductive system or breast disease', 'endocrine system disease', 'cancer or benign tumor']",EFO_1000112
189,EFO_1000319,Laryngeal Adenoid Cystic Carcinoma,"['OTAR_0000010', 'MONDO_0045024']","['respiratory or thoracic disease', 'cancer or benign tumor']",MONDO_0006264
190,EFO_1000595,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,"['MONDO_0045024', 'EFO_0001379']","['cancer or benign tumor', 'endocrine system disease']",MONDO_0006468
191,EFO_1001819,orbital myositis,"['OTAR_0000006', 'EFO_0000540', 'MONDO_0024458']","['musculoskeletal or connective tissue disease', 'immune system disease', 'disorder of visual system']",EFO_1001819
192,EFO_1001905,oxidative stress,['GO_0008150'],['biological process'],EFO_1001905
193,EFO_1001939,Barrett adenocarcinoma,"['MONDO_0045024', 'EFO_0010282']","['cancer or benign tumor', 'gastrointestinal disease']",MONDO_0004405
194,GO_0032501,multicellular organismal process,['GO_0008150'],['biological process'],GO_0032501
195,GO_0042455,ribonucleoside biosynthetic process,['GO_0008150'],['biological process'],GO_0042455
196,GO_0060073,micturition,['GO_0008150'],['biological process'],GO_0060073
197,HP_0002970,Genu varum,['EFO_0000651'],['phenotype'],HP_0002970
198,HP_0003326,Myalgia,['EFO_0000651'],['phenotype'],HP_0003326
199,HP_0010059,Broad hallux phalanx,['EFO_0000651'],['phenotype'],HP_0010059
200,HP_0010539,Thin calvarium,['EFO_0000651'],['phenotype'],HP_0010539
201,HP_0012736,Profound global developmental delay,['EFO_0000651'],['phenotype'],HP_0012736
202,HP_0020174,Refractory drug response,['EFO_0000651'],['phenotype'],HP_0020174
203,HP_0031273,Shock,['EFO_0000651'],['phenotype'],HP_0031273
204,MONDO_0002661,uveal disorder,['MONDO_0024458'],['disorder of visual system'],MONDO_0002661
205,MONDO_0002722,olfactory nerve neoplasm,"['MONDO_0045024', 'EFO_0000618']","['cancer or benign tumor', 'nervous system disease']",MONDO_0002722
206,MONDO_0002883,intestinal neuroendocrine neoplasm,"['EFO_0001379', 'MONDO_0045024', 'EFO_0010282']","['endocrine system disease', 'cancer or benign tumor', 'gastrointestinal disease']",MONDO_0002883
207,MONDO_0007221,brachydactyly type C,"['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",MONDO_0007221
208,MONDO_0007861,isolated cloverleaf skull syndrome,"['OTAR_0000006', 'OTAR_0000018']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease']",MONDO_0007861
209,MONDO_0007931,vitelliform macular dystrophy 2,"['OTAR_0000018', 'MONDO_0024458', 'EFO_0000618']","['genetic, familial or congenital disease', 'disorder of visual system', 'nervous system disease']",MONDO_0007931
210,MONDO_0008120,spinocerebellar ataxia type 7,"['MONDO_0002025', 'OTAR_0000018', 'EFO_0000618']","['psychiatric disorder', 'genetic, familial or congenital disease', 'nervous system disease']",MONDO_0008120
211,MONDO_0008339,antecubital pterygium syndrome,['EFO_0010285'],['integumentary system disease'],MONDO_0008339
212,MONDO_0008633,Muckle-Wells syndrome,"['OTAR_0000006', 'OTAR_0000018', 'EFO_0009690', 'EFO_0000540']","['musculoskeletal or connective tissue disease', 'genetic, familial or congenital disease', 'urinary system disease', 'immune system disease']",MONDO_0008633
213,MONDO_0008648,"ventricular tachycardia, familial","['OTAR_0000018', 'EFO_0000319']","['genetic, familial or congenital disease', 'cardiovascular disease']",MONDO_0008648
214,MONDO_0008875,blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome,"['OTAR_0000018', 'MONDO_0024458']","['genetic, familial or congenital disease', 'disorder of visual system']",MONDO_0008875
215,MONDO_0008894,cataract-hypertrichosis-intellectual disability syndrome,"['MONDO_0002025', 'OTAR_0000018', 'EFO_0000618', 'EFO_0010285']","['psychiatric disorder', 'genetic, familial or congenital disease', 'nervous system disease', 'integumentary system disease']",MONDO_0008894
216,MONDO_0009557,mandibuloacral dysplasia with type A lipodystrophy,"['OTAR_0000006', 'OTAR_0000020', 'OTAR_0000018', 'EFO_0010285']","['musculoskeletal or connective tissue disease', 'nutritional or metabolic disease', 'genetic, familial or congenital disease', 'integumentary system disease']",MONDO_0009557
217,MONDO_0010204,lysosomal acid lipase deficiency,"['OTAR_0000018', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nutritional or metabolic disease']",MONDO_0010204
