,drugName,drugid,description,drugtype,maxPhase,withdrawn,blackBox,approvalYear,list_targets,list_diseases,has_any_sc_evidence,has_any_genetic_evidence,num_indications,mechanism,action_type,target_type
10,TCN-032,CHEMBL2109619,Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,[],['EFO_0007328'],False,False,1,Matrix protein 2 inhibitor ,INHIBITOR ,single protein 
11,SOLCITINIB,CHEMBL3301606,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,['ENSG00000162434'],"['MONDO_0007915', 'EFO_0000676', 'EFO_0000729']",False,False,3,Tyrosine-protein kinase JAK1 inhibitor ,INHIBITOR ,single protein 
12,DENINTUZUMAB MAFODOTIN,CHEMBL3545371,Antibody drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,2.0,,False,no approval year,['ENSG00000177455'],"['EFO_1001469', 'EFO_0000220', 'EFO_0000403', 'EFO_0000309', 'MONDO_0018906']",False,False,5,B-lymphocyte antigen CD19 binding agent ,BINDING AGENT ,single protein 
13,PAMIDRONATE DISODIUM,CHEMBL3989401,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1991 and has 4 investigational indications.,,4.0,,False,1991,['ENSG00000160752'],"['EFO_1001164', 'EFO_0001378', 'MONDO_0007254', 'MONDO_0019019']",True,False,4,Farnesyl diphosphate synthase inhibitor ,INHIBITOR ,single protein 
14,ELUFORSEN,CHEMBL4594587,Oligonucleotide drug with a maximum clinical trial phase of I and has 1 investigational indication.,,1.0,,False,no approval year,[],['MONDO_0009061'],False,False,1,,,
15,IDREVLORIDE,CHEMBL5095031,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,"['ENSG00000111319', 'ENSG00000168447', 'ENSG00000166828']",['MONDO_0009061'],False,False,1,"Amiloride-sensitive sodium channel, ENaC blocker ",BLOCKER ,protein complex 
16,DIVARASIB,CHEMBL5095236,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,[],['EFO_0003060'],False,False,1,,,
17,PEGLOPRASTIDE,CHEMBL5095310,Protein drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,[],"['MONDO_0007254', 'EFO_0006318']",False,False,2,,,
18,MOTESANIB,CHEMBL572881,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 18 investigational indications.,,3.0,,False,no approval year,"['ENSG00000102755', 'ENSG00000037280', 'ENSG00000128052', 'ENSG00000157404', 'ENSG00000165731', 'ENSG00000113721', 'ENSG00000134853']","['MONDO_0007254', 'MONDO_0021063', 'MONDO_0008903', 'MONDO_0007254', 'EFO_1000657', 'MONDO_0007576', 'EFO_0003060', 'MONDO_0002087', 'MONDO_0008170', 'MONDO_0011719', 'EFO_0002618', 'EFO_0000616', 'EFO_0007331', 'EFO_0003060', 'MONDO_0002158', 'MONDO_0002108', 'EFO_0004243', 'EFO_0000574', 'MONDO_0016537']",True,True,19,Tyrosine-protein kinase receptor RET inhibitor Platelet-derived growth factor receptor inhibitor Stem cell growth factor receptor inhibitor Vascular endothelial growth factor receptor inhibitor ,INHIBITOR ,single protein protein complex protein family 
19,IROFULVEN,CHEMBL118218,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 19 investigational indications.,,3.0,,False,no approval year,[],"['MONDO_0008315', 'MONDO_0007254', 'MONDO_0011962', 'MONDO_0002691', 'EFO_0000616', 'MONDO_0002158', 'EFO_0000565', 'EFO_0000198', 'MONDO_0002367', 'EFO_0002618', 'MONDO_0008903', 'EFO_1000158', 'MONDO_0001056', 'EFO_0000389', 'MONDO_0002974', 'MONDO_0002087', 'MONDO_0002108', 'MONDO_0008170', 'EFO_1001951']",False,False,19,,,
20,PARICALCITOL,CHEMBL1200622,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1998 and has 3 approved and 16 investigational indications.,,4.0,,False,1998,['ENSG00000111424'],"['EFO_0000616', 'EFO_0003086', 'MONDO_0007254', 'MONDO_0008315', 'EFO_0001378', 'EFO_0002517', 'EFO_0000401', 'MONDO_0005148', 'HP_0002901', 'EFO_0004194', 'EFO_0002618', 'EFO_0003896', 'EFO_1000657', 'HP_0000093', 'EFO_1001173', 'EFO_0005754', 'EFO_0008506', 'EFO_0003884', 'EFO_0004285']",True,False,19,Vitamin D receptor agonist ,AGONIST ,single protein 
21,HUHMFG1,CHEMBL2109637,Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,['ENSG00000185499'],"['EFO_0000305', 'MONDO_0007254']",False,False,2,Mucin-1 other ,OTHER ,single protein 
22,DAROTROPIUM,CHEMBL2365940,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,"['ENSG00000133019', 'ENSG00000180720', 'ENSG00000168539', 'ENSG00000181072', 'ENSG00000184984']",['EFO_0000341'],True,True,1,Muscarinic acetylcholine receptor antagonist ,ANTAGONIST ,protein family 
23,GENTAMICIN,CHEMBL3039597,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1970 and has 8 approved and 30 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1970,[],"['EFO_1000657', 'EFO_0003843', 'MONDO_0007254', 'EFO_1001272', 'MP_0001845', 'EFO_0000544', 'EFO_0009449', 'EFO_0003106', 'EFO_1001888', 'EFO_1001753', 'EFO_1000702', 'EFO_0005044', 'EFO_0009536', 'MONDO_0009179', 'MONDO_0009179', 'HP_0000964', 'HP_0100806', 'MONDO_0004992', 'MONDO_0009061', 'MONDO_0017612', 'EFO_0003102', 'MONDO_0018914', 'EFO_0006862', 'EFO_1000690', 'EFO_0009450', 'EFO_0009425', 'EFO_1001865', 'EFO_0000544', 'DOID_7551', 'MONDO_0010311', 'EFO_0000771', 'MONDO_0010679', 'EFO_1001459', 'EFO_0000771', 'EFO_0000274', 'MONDO_0021063', 'EFO_0009948', 'MONDO_0002406', 'EFO_0007195', 'EFO_0005046']",False,False,40,Bacterial 70S ribosome inhibitor ,INHIBITOR ,protein nucleic-acid complex 
24,METHOTREXATE,CHEMBL34259,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1953 and has 22 approved and 139 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1953,['ENSG00000228716'],"['EFO_1001209', 'MONDO_0019460', 'EFO_0000221', 'EFO_1000785', 'EFO_0000717', 'EFO_0000339', 'MONDO_0019338', 'EFO_0004192', 'EFO_0000224', 'MONDO_0019469', 'EFO_0003027', 'EFO_0003811', 'EFO_0006859', 'EFO_1001469', 'MONDO_0018944', 'MONDO_0021054', 'EFO_1001012', 'EFO_0002609', 'EFO_0000232', 'EFO_0000616', 'MONDO_0004979', 'EFO_0002939', 'EFO_0000574', 'MONDO_0015540', 'EFO_0000384', 'EFO_0004208', 'EFO_0000389', 'EFO_0003778', 'MONDO_0004192', 'EFO_0000096', 'EFO_0000255', 'EFO_0000612', 'MONDO_0005178', 'EFO_1001486', 'EFO_0000565', 'EFO_1000131', 'EFO_0006475', 'MONDO_0044917', 'MONDO_0011382', 'EFO_1001471', 'EFO_1001365', 'EFO_0005952', 'EFO_0009784', 'MONDO_0004986', 'HP_0012410', 'EFO_0000274', 'EFO_1000309', 'MONDO_0010518', 'EFO_0000094', 'EFO_0002893', 'EFO_0000095', 'EFO_0003025', 'MONDO_0005090', 'EFO_0007187', 'MONDO_0100096', 'EFO_0000209', 'EFO_0000198', 'MONDO_0015253', 'EFO_0001642', 'EFO_0000729', 'MONDO_0009833', 'EFO_0009441', 'EFO_0005531', 'EFO_0004284', 'EFO_0000305', 'MONDO_0002041', 'MONDO_0000873', 'EFO_0001068', 'EFO_0000540', 'MONDO_0018848', 'MP_0001845', 'MONDO_0008903', 'EFO_0000181', 'MONDO_0008170', 'EFO_0003032', 'MONDO_0024280', 'MONDO_0005575', 'EFO_1001779', 'EFO_0005297', 'EFO_0008528', 'MONDO_0017198', 'MONDO_0003005', 'EFO_0003898', 'MONDO_0019200', 'EFO_0000770', 'EFO_0003802', 'EFO_1000318', 'MONDO_0019471', 'MONDO_0001187', 'EFO_0002428', 'EFO_0000191', 'EFO_0000707', 'EFO_1001494', 'EFO_0000223', 'MONDO_0016717', 'EFO_0004289', 'MONDO_0044881', 'EFO_1000298', 'MONDO_0005301', 'EFO_0002430', 'EFO_0000557', 'EFO_0000691', 'EFO_0003869', 'EFO_0000403', 'MONDO_0002367', 'EFO_0000588', 'EFO_1001951', 'EFO_0005856', 'EFO_0004599', 'MONDO_0007254', 'EFO_0009708', 'EFO_0000637', 'MONDO_0002038', 'MONDO_0013730', 'EFO_0006803', 'EFO_0002429', 'EFO_0000764', 'MONDO_0002974', 'EFO_0000309', 'EFO_0001075', 'MONDO_0001657', 'MONDO_0000159', 'MONDO_0015974', 'MONDO_0018975', 'EFO_1000956', 'MONDO_0004992', 'EFO_0003833', 'MONDO_0020077', 'EFO_0000183', 'EFO_1001231', 'MONDO_0019391', 'EFO_0000211', 'EFO_0004991', 'EFO_0006818', 'MONDO_0000870', 'EFO_0000220', 'EFO_1000158', 'EFO_1001176', 'EFO_1000986', 'EFO_1001051', 'EFO_0005235', 'EFO_0001645', 'EFO_0000676', 'EFO_0000319', 'EFO_1001129', 'EFO_0000220', 'EFO_0004251', 'EFO_1001830', 'EFO_0000218', 'HP_0001915', 'EFO_0000222', 'MONDO_0007915', 'EFO_0000685', 'MONDO_0003478', 'EFO_0009907', 'MONDO_0044903', 'MONDO_0019472', 'EFO_0000621', 'EFO_0001378', 'MONDO_0018906', 'EFO_0000398']",True,False,161,Dihydrofolate reductase inhibitor ,INHIBITOR ,single protein 
25,VOXTALISIB,CHEMBL3545366,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 12 investigational indications.,,2.0,,False,no approval year,"['ENSG00000145675', 'ENSG00000051382', 'ENSG00000105851', 'ENSG00000121879', 'ENSG00000105647', 'ENSG00000171608', 'ENSG00000141506', 'ENSG00000117461', 'ENSG00000198793']","['EFO_0003060', 'MONDO_0007254', 'MONDO_0003268', 'EFO_0000756', 'EFO_0000574', 'EFO_0000616', 'EFO_0000095', 'EFO_1001469', 'EFO_1001951', 'EFO_0000519', 'MONDO_0004992', 'MONDO_0008170']",True,False,12,Serine/threonine-protein kinase mTOR inhibitor PI3-kinase class I inhibitor ,INHIBITOR ,single protein protein complex group 
26,GSK2256294,CHEMBL3818875,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,['ENSG00000120915'],['EFO_0000341'],False,True,1,Epoxide hydratase inhibitor ,INHIBITOR ,single protein 
27,ANDECALIXIMAB,CHEMBL3833374,Antibody drug with a maximum clinical trial phase of III (across all indications) and has 6 investigational indications.,,3.0,,False,no approval year,['ENSG00000100985'],"['EFO_0000341', 'EFO_0000685', 'EFO_0000384', 'EFO_0000729', 'MONDO_0009061', 'EFO_0000503']",False,True,6,Matrix metalloproteinase 9 inhibitor ,INHIBITOR ,single protein 
28,CHLOROQUINE HYDROCHLORIDE,CHEMBL4297165,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1949 and has 2 investigational indications.,,4.0,,False,1949,[],"['MONDO_0007915', 'EFO_0000685']",False,False,2,,,
29,AVASOPASEM MANGANESE,CHEMBL4297957,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 7 investigational indications.,,3.0,,False,no approval year,[],"['MONDO_0100096', 'EFO_0003086', 'EFO_0002618', 'HP_0100633', 'MONDO_0044926', 'EFO_0000199', 'EFO_1001904']",False,False,7,,,
30,EMD-1201081,CHEMBL4297993,Unknown drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,['ENSG00000239732'],"['EFO_0000681', 'EFO_0003060', 'EFO_1001951']",False,False,3,Toll-like receptor 9 agonist ,AGONIST ,single protein 
31,BOTENSILIMAB,CHEMBL4650435,Antibody drug with a maximum clinical trial phase of I (across all indications) and has 7 investigational indications.,,1.0,,False,no approval year,[],"['EFO_0000756', 'EFO_0000616', 'MONDO_0004992', 'MONDO_0008170', 'MONDO_0011962', 'EFO_0003968', 'EFO_0003060']",False,False,7,,,
32,INDOXIMOD,CHEMBL571209,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 10 investigational indications.,,2.0,,False,no approval year,"['ENSG00000198793', 'ENSG00000141564', 'ENSG00000167965']","['EFO_0000756', 'EFO_1000028', 'MONDO_0007254', 'EFO_0002617', 'EFO_0002939', 'EFO_0003060', 'EFO_0000222', 'EFO_0000616', 'EFO_1001465', 'EFO_0000196']",False,False,10,mTORC1 activator ,ACTIVATOR ,protein complex 
33,MEMANTINE,CHEMBL807,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2003 and is indicated for alzheimer disease and has 50 investigational indications.,,4.0,,False,2003,"['ENSG00000176884', 'ENSG00000183454', 'ENSG00000273079', 'ENSG00000105464', 'ENSG00000116032', 'ENSG00000161509', 'ENSG00000198785']","['HP_0012167', 'EFO_0000326', 'MONDO_0010383', 'MONDO_0005180', 'MONDO_0004985', 'EFO_0009386', 'EFO_0005611', 'EFO_0003890', 'EFO_0003758', 'MONDO_0007079', 'MONDO_0004976', 'HP_0100543', 'EFO_0007328', 'MONDO_0005090', 'MONDO_0002050', 'MONDO_0017276', 'MONDO_0002009', 'EFO_0003757', 'HP_0002140', 'MONDO_0005277', 'EFO_0003833', 'MONDO_0011382', 'MONDO_0004975', 'HP_0001268', 'EFO_0005411', 'MONDO_0002046', 'EFO_0001073', 'EFO_0004699', 'EFO_0004329', 'MONDO_0002491', 'EFO_1001801', 'EFO_0004240', 'MONDO_0007739', 'MONDO_0004681', 'EFO_0000519', 'MONDO_0007915', 'EFO_0005407', 'EFO_0005230', 'EFO_0003768', 'EFO_0003758', 'EFO_0003843', 'MONDO_0004976', 'MONDO_0004975', 'EFO_0004242', 'HP_0012228', 'MONDO_0005301', 'EFO_0004190', 'EFO_1001465', 'EFO_0005762', 'EFO_0003756', 'EFO_0005687', 'EFO_0002610']",False,False,52,Glutamate [NMDA] receptor negative allosteric modulator ,NEGATIVE ALLOSTERIC MODULATOR ,protein complex group 
34,ENZALUTAMIDE,CHEMBL1082407,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2012 and has 6 approved and 15 investigational indications.,,4.0,,False,2012,['ENSG00000169083'],"['EFO_1001469', 'EFO_0000196', 'EFO_0001663', 'EFO_0001421', 'MONDO_0008315', 'MONDO_0008315', 'EFO_0000349', 'EFO_0003086', 'MONDO_0004992', 'MONDO_0008170', 'EFO_0000305', 'EFO_0000673', 'EFO_0003859', 'MONDO_0100096', 'EFO_0002618', 'EFO_0000182', 'EFO_0000616', 'MONDO_0100096', 'MONDO_0001187', 'EFO_0000313', 'MONDO_0007254']",True,False,21,Androgen Receptor antagonist ,ANTAGONIST ,single protein 
35,ZINC ACETATE,CHEMBL1200928,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for exanthem and movement disorder and has 5 investigational indications.,,4.0,,False,no approval year,[],"['MONDO_0100096', 'HP_0012735', 'EFO_1000697', 'MONDO_0010200', 'EFO_0003106', 'EFO_0004280', 'EFO_1001904']",False,False,7,,,
36,NORGESTIMATE,CHEMBL1200934,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1989 and is indicated for acne and has 7 investigational indications.,,4.0,,False,1989,['ENSG00000082175'],"['MONDO_0018075', 'EFO_0003894', 'MONDO_0009061', 'HP_0100608', 'EFO_0003882', 'EFO_0003047', 'EFO_0000764', 'MONDO_0005277']",False,False,8,Progesterone receptor agonist ,AGONIST ,single protein 
37,CUDC-305,CHEMBL2419346,Small molecule drug with a maximum clinical trial phase of I (across all indications) and has 4 investigational indications.,,1.0,,False,no approval year,[],"['EFO_1001494', 'EFO_0000574', 'MONDO_0004992', 'EFO_0003060']",False,False,4,,,
38,SOTAGLIFLOZIN,CHEMBL3039507,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for diabetes mellitus and has 5 investigational indications.,,4.0,,False,no approval year,"['ENSG00000100170', 'ENSG00000140675']","['EFO_0000400', 'EFO_0003144', 'MONDO_0005148', 'EFO_0003086', 'EFO_0001421', 'MONDO_0005147']",False,False,6,Sodium/glucose cotransporter 1 inhibitor Sodium/glucose cotransporter 2 inhibitor ,INHIBITOR ,single protein 
39,DEXTROTHYROXINE SODIUM,CHEMBL3545058,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1967 and has 2 investigational indications.,,4.0,,False,1967,"['ENSG00000126351', 'ENSG00000151090']","['EFO_1001375', 'EFO_0000612']",False,False,2,Thyroid hormone receptor agonist ,AGONIST ,protein complex 
40,PF-06651600,CHEMBL4085457,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 7 investigational indications.,,3.0,,False,no approval year,"['ENSG00000113263', 'ENSG00000102010', 'ENSG00000135605', 'ENSG00000074966', 'ENSG00000010671', 'ENSG00000105639']","['EFO_0000384', 'EFO_0004208', 'EFO_0004192', 'EFO_0001421', 'EFO_0003086', 'EFO_0000729', 'EFO_0000685']",True,False,7,TEC family kinase inhibitor Tyrosine-protein kinase JAK3 inhibitor ,INHIBITOR ,protein family single protein 
41,PENPULIMAB,CHEMBL4297571,Antibody drug with a maximum clinical trial phase of III (across all indications) and has 20 investigational indications.,,3.0,,False,no approval year,['ENSG00000188389'],"['EFO_0000702', 'EFO_0003060', 'EFO_0003108', 'MONDO_0002108', 'EFO_0000183', 'EFO_0003860', 'MONDO_0004992', 'EFO_0002618', 'EFO_0003869', 'EFO_0000708', 'EFO_0000574', 'EFO_0000178', 'EFO_0000519', 'EFO_0004252', 'MONDO_0008903', 'EFO_0000182', 'MONDO_0002974', 'EFO_0000403', 'EFO_0005922', 'EFO_1001951']",True,False,20,Programmed cell death protein 1 inhibitor ,INHIBITOR ,single protein 
42,LANIQUIDAR,CHEMBL539378,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,[],['MONDO_0007254'],False,False,1,,,
43,CYSTEAMINE,CHEMBL602,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1994 and is indicated for eye disease and cystinosis and has 10 investigational indications.,,4.0,,False,1994,[],"['MONDO_0016239', 'EFO_0000764', 'MONDO_0044970', 'EFO_0007328', 'EFO_0003966', 'EFO_0003095', 'MONDO_0009061', 'MONDO_0004979', 'MONDO_0016239', 'HP_0001397', 'MONDO_0100096', 'EFO_0003106', 'MONDO_0016239']",False,False,13,,,
44,CELECOXIB,CHEMBL118,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1998 and has 17 approved and 93 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1998,['ENSG00000073756'],"['HP_0012532', 'MONDO_0005090', 'EFO_1001893', 'MP_0001914', 'MONDO_0001657', 'EFO_0005279', 'EFO_0009606', 'EFO_0000546', 'EFO_0002496', 'EFO_0004239', 'EFO_0004251', 'EFO_0005252', 'EFO_0003868', 'MONDO_0018975', 'EFO_0005406', 'EFO_0003843', 'EFO_0000284', 'HP_0100607', 'MONDO_0042487', 'EFO_0001075', 'MONDO_0018076', 'MONDO_0004976', 'MONDO_0011705', 'MONDO_0002087', 'HP_0004398', 'MONDO_0004247', 'EFO_0000668', 'EFO_0004142', 'EFO_0000616', 'MP_0001845', 'EFO_0000681', 'MONDO_0002363', 'EFO_0007328', 'MONDO_0002974', 'EFO_0000621', 'EFO_0001073', 'MONDO_0004985', 'EFO_0004242', 'EFO_0000685', 'EFO_1001904', 'EFO_0002939', 'EFO_0005543', 'EFO_0004288', 'HP_0003418', 'EFO_0001416', 'MONDO_0008170', 'MONDO_0044937', 'EFO_0007453', 'MONDO_0021063', 'MONDO_0007254', 'EFO_0004252', 'EFO_0008525', 'EFO_1001950', 'EFO_0000673', 'EFO_0010072', 'MONDO_0002258', 'EFO_0003893', 'EFO_0000691', 'MONDO_0010200', 'MONDO_0001187', 'EFO_0000305', 'EFO_0005669', 'EFO_0002609', 'MONDO_0002715', 'MONDO_0004975', 'EFO_0005755', 'EFO_0000203', 'HP_0011110', 'EFO_0002618', 'MONDO_0007576', 'EFO_1001250', 'MONDO_0004992', 'EFO_0003898', 'MONDO_0002050', 'MONDO_0003937', 'EFO_0004274', 'EFO_0009625', 'EFO_0004142', 'EFO_0001072', 'EFO_0000537', 'EFO_0000756', 'EFO_0000199', 'MONDO_0002009', 'EFO_0003869', 'EFO_0000365', 'EFO_0004616', 'EFO_0005762', 'MONDO_0005178', 'EFO_1001951', 'EFO_1000786', 'MONDO_0008903', 'Orphanet_733', 'EFO_0003060', 'MONDO_0005277', 'EFO_0000712', 'MONDO_0002691', 'MONDO_0100096', 'EFO_1000158', 'EFO_1001466', 'EFO_0006859', 'MONDO_0024475', 'MONDO_0008315', 'EFO_0000519', 'EFO_0001668', 'EFO_0003768', 'HP_0003419', 'EFO_1000657', 'MONDO_0004658', 'EFO_0001378', 'EFO_0000182']",True,False,110,Cyclooxygenase-2 inhibitor ,INHIBITOR ,single protein 
