,ti_uid,indication_mesh_term,gene_name,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,disease_relevant_tissues,dtr_blood,dtr_lymph_node,dtr_bone_marrow,dtr_lung,dtr_nose,dtr_eye,dtr_small_intestine,dtr_esophagus,dtr_colon,dtr_liver,dtr_skin,dtr_heart,dtr_brain,dtr_kidney,dtr_prostate,gene_id
29,ABCA4-D008268,Macular Degeneration,ABCA4,Preclinical,,,,,genetically supported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000198691
30,ABCB1-D006086,Graft vs Host Disease,ABCB1,Phase III,True,True,True,False,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000085563
31,ABCB1-D007239,Infections,ABCB1,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000085563
32,ABCB1-D008268,Macular Degeneration,ABCB1,Preclinical,False,,,,unsupported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000085563
33,ABCB1-D015212,Inflammatory Bowel Diseases,ABCB1,Preclinical,False,,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000085563
34,ABCB11-D002780,"Cholestasis, Intrahepatic",ABCB11,Preclinical,,,,,genetically supported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000073734
35,ABCB4-D002780,"Cholestasis, Intrahepatic",ABCB4,Preclinical,,,,,genetically supported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000005471
36,ABCC1-D003424,Crohn Disease,ABCC1,Phase I,True,False,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000103222
37,ABCC1-D005767,Gastrointestinal Diseases,ABCC1,Phase II,True,True,False,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000103222
38,ABCC1-D007239,Infections,ABCC1,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000103222
39,ABCC1-D008107,Liver Diseases,ABCC1,Preclinical,False,,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000103222
40,ABCC1-D008268,Macular Degeneration,ABCC1,Preclinical,False,,,,unsupported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000103222
41,ABCC1-D015212,Inflammatory Bowel Diseases,ABCC1,Preclinical,False,,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000103222
42,ABCC8-D000787,Angina Pectoris,ABCC8,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000006071
43,ABCC8-D002545,Brain Ischemia,ABCC8,Phase III,True,True,True,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000006071
44,ABCC8-D006973,Hypertension,ABCC8,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000006071
45,ABCC8-D009203,Myocardial Infarction,ABCC8,Phase I,True,False,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000006071
46,ABCC8-D013345,Subarachnoid Hemorrhage,ABCC8,Phase I,True,False,,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000006071
47,ABCC8-D020521,Stroke,ABCC8,Phase III,True,True,True,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000006071
48,ABCC9-D000505,Alopecia,ABCC9,Launched,True,True,True,True,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000069431
49,ABCC9-D000506,Alopecia Areata,ABCC9,Launched,True,True,True,True,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000069431
50,ABCC9-D000787,Angina Pectoris,ABCC9,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000069431
51,ABCC9-D002318,Cardiovascular Diseases,ABCC9,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000069431
52,ABCC9-D006973,Hypertension,ABCC9,Preclinical,False,,,,genetically supported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000069431
53,ABCC9-D007676,"Kidney Failure, Chronic",ABCC9,Preclinical,False,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000069431
54,ABCC9-D058186,Acute Kidney Injury,ABCC9,Preclinical,,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000069431
55,ABCD1-D065626,Non-alcoholic Fatty Liver Disease,ABCD1,Phase II,True,True,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000101986
56,ABL1-D000086382,COVID-19,ABL1,Phase III,True,True,True,,unsupported target,"blood,lymph_node,bone_marrow,lung,nose",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000097007
57,ABL1-D000544,Alzheimer Disease,ABL1,Phase III,True,True,True,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000097007
58,ABL1-D000690,Amyotrophic Lateral Sclerosis,ABL1,Phase I,True,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000097007
59,ABL1-D003680,Deglutition Disorders,ABL1,Phase I,True,,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000097007
60,ABL1-D005128,Eye Diseases,ABL1,Preclinical,False,,,,unsupported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000097007
61,ABL1-D006976,"Hypertension, Pulmonary",ABL1,Phase III,True,True,True,,unsupported target,"lung,nose,heart",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,ENSG00000097007
62,ABL1-D007674,Kidney Diseases,ABL1,Preclinical,False,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000097007
63,ABL1-D009190,Myelodysplastic Syndromes,ABL1,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000097007
64,ABL1-D010300,Parkinson Disease,ABL1,Phase III,True,True,True,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000097007
65,ABL1-D017681,Hypereosinophilic Syndrome,ABL1,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000097007
66,ABL1-D019578,Multiple System Atrophy,ABL1,Preclinical,,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000097007
67,ABL1-D020961,Lewy Body Disease,ABL1,Phase II,True,True,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000097007
68,ABL1-D054990,Idiopathic Pulmonary Fibrosis,ABL1,Phase II,True,True,,,unsupported target,"lung,nose",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000097007
69,ACACA-D000152,Acne Vulgaris,ACACA,Phase II,True,True,False,,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000275176
70,ACACA-D065626,Non-alcoholic Fatty Liver Disease,ACACA,Phase II,True,True,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000275176
71,ACACB-D000152,Acne Vulgaris,ACACB,Phase II,True,True,False,,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000076555
72,ACACB-D065626,Non-alcoholic Fatty Liver Disease,ACACB,Phase I,True,,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000076555
73,ACE-D002318,Cardiovascular Diseases,ACE,Preclinical,False,,,,genetically supported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
74,ACE-D003715,Dengue,ACE,Phase I,True,False,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000159640
75,ACE-D006333,Heart Failure,ACE,Launched,True,True,True,True,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
76,ACE-D006973,Hypertension,ACE,Launched,True,True,True,True,genetically supported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
77,ACE-D007251,"Influenza, Human",ACE,Phase I,True,False,,,unsupported target,"blood,lymph_node,bone_marrow,lung,nose",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000159640
78,ACE-D007676,"Kidney Failure, Chronic",ACE,Phase II,True,True,False,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000159640
79,ACE-D009203,Myocardial Infarction,ACE,Launched,True,True,True,True,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
80,ACE-D050197,Atherosclerosis,ACE,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
81,ACE-D054058,Acute Coronary Syndrome,ACE,Phase III,True,True,True,False,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000159640
82,ACE2-D000086382,COVID-19,ACE2,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow,lung,nose",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000130234
83,ACE2-D003093,"Colitis, Ulcerative",ACE2,Phase II,True,True,False,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000130234
84,ACE2-D006333,Heart Failure,ACE2,Phase I,True,False,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000130234
85,ACE2-D006976,"Hypertension, Pulmonary",ACE2,Phase II,True,True,,,unsupported target,"lung,nose,heart",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,ENSG00000130234
86,ACE2-D008107,Liver Diseases,ACE2,Phase I,True,False,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000130234
87,ACE2-D009203,Myocardial Infarction,ACE2,Phase I,True,False,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000130234
88,ACE2-D012120,Respiration Disorders,ACE2,Preclinical,False,,,,unsupported target,"lung,nose",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000130234
89,ACE2-D029424,"Pulmonary Disease, Chronic Obstructive",ACE2,Preclinical,False,,,,unsupported target,"lung,nose",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000130234
90,ACHE-D000437,Alcoholism,ACHE,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
91,ACHE-D000544,Alzheimer Disease,ACHE,Launched,True,True,True,True,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
92,ACHE-D000690,Amyotrophic Lateral Sclerosis,ACHE,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
93,ACHE-D001008,Anxiety Disorders,ACHE,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
94,ACHE-D002545,Brain Ischemia,ACHE,Phase II,True,True,False,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000087085
95,ACHE-D003072,Cognition Disorders,ACHE,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
96,ACHE-D003093,"Colitis, Ulcerative",ACHE,Phase II,True,True,False,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000087085
97,ACHE-D003704,Dementia,ACHE,Launched,True,True,True,True,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
98,ACHE-D003863,Depression,ACHE,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
99,ACHE-D003872,Dermatitis,ACHE,Preclinical,,,,,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000087085
100,ACHE-D003929,Diabetic Neuropathies,ACHE,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
101,ACHE-D004827,Epilepsy,ACHE,Phase I,True,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
102,ACHE-D004828,"Epilepsies, Partial",ACHE,Phase I,True,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
103,ACHE-D004831,"Epilepsies, Myoclonic",ACHE,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
104,ACHE-D005128,Eye Diseases,ACHE,Preclinical,,,,,unsupported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000087085
105,ACHE-D005756,Gastritis,ACHE,Phase I,True,False,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000087085
106,ACHE-D005764,Gastroesophageal Reflux,ACHE,Preclinical,False,,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000087085
107,ACHE-D008268,Macular Degeneration,ACHE,Preclinical,False,,,,unsupported target,eye,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000087085
108,ACHE-D009437,Neuralgia,ACHE,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
109,ACHE-D012859,Sjogren's Syndrome,ACHE,Phase II,True,True,False,,unsupported target,"blood,lymph_node,bone_marrow,eye,skin",1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,ENSG00000087085
110,ACHE-D014029,Tobacco Use Disorder,ACHE,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
111,ACHE-D015212,Inflammatory Bowel Diseases,ACHE,Phase II,True,True,False,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000087085
112,ACHE-D020521,Stroke,ACHE,Phase II,True,True,False,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000087085
113,ACHE-D020820,Dyskinesias,ACHE,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
114,ACHE-D020961,Lewy Body Disease,ACHE,Launched,True,True,True,True,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000087085
115,ACHE-D043183,Irritable Bowel Syndrome,ACHE,Preclinical,False,,,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000087085
116,ACKR3-D007154,Immune System Diseases,ACKR3,Phase I,True,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000144476
117,ACLY-D002318,Cardiovascular Diseases,ACLY,Preclinical,,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000131473
118,ACLY-D007154,Immune System Diseases,ACLY,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000131473
119,ACLY-D051437,Renal Insufficiency,ACLY,Preclinical,,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000131473
120,ACLY-D065626,Non-alcoholic Fatty Liver Disease,ACLY,Preclinical,,,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000131473
121,ACMSD-D000086382,COVID-19,ACMSD,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow,lung,nose",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000153086
122,ACMSD-D058186,Acute Kidney Injury,ACMSD,Preclinical,False,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000153086
123,ACMSD-D065626,Non-alcoholic Fatty Liver Disease,ACMSD,Preclinical,False,,,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000153086
124,ACR-D000086382,COVID-19,ACR,Launched,True,True,True,True,unsupported target,"blood,lymph_node,bone_marrow,lung,nose",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,ENSG00000100312
125,ACR-D006566,Herpesviridae Infections,ACR,Phase I,True,False,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000100312
126,ACR-D030361,Papillomavirus Infections,ACR,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000100312
127,ACSS2-D000437,Alcoholism,ACSS2,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000131069
128,ACSS2-D000544,Alzheimer Disease,ACSS2,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000131069
129,ACSS2-D008288,Malaria,ACSS2,Preclinical,,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000131069
130,ACSS2-D013313,"Stress Disorders, Post-Traumatic",ACSS2,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000131069
131,ACSS2-D019966,Substance-Related Disorders,ACSS2,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000131069
132,ACVR1-D000740,Anemia,ACVR1,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000115170
133,ACVR1-D006976,"Hypertension, Pulmonary",ACVR1,Preclinical,False,,,,unsupported target,"lung,nose,heart",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,ENSG00000115170
134,ACVR1-D009190,Myelodysplastic Syndromes,ACVR1,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000115170
135,ACVR1-D013922,Thrombocytosis,ACVR1,Phase III,True,True,True,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000115170
136,ACVR1-D018798,"Anemia, Iron-Deficiency",ACVR1,Phase I,True,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000115170
137,ACVR1-D051437,Renal Insufficiency,ACVR1,Phase I,True,,,,unsupported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000115170
138,ACVR1-D055728,Primary Myelofibrosis,ACVR1,Launched,True,True,True,True,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000115170
139,ACVR2A-D000740,Anemia,ACVR2A,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000121989
140,ACVR2A-D006976,"Hypertension, Pulmonary",ACVR2A,Phase III,True,True,True,,unsupported target,"lung,nose,heart",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,ENSG00000121989
141,ACVR2A-D007676,"Kidney Failure, Chronic",ACVR2A,Phase II,True,True,False,,genetically supported target,kidney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ENSG00000121989
142,ACVR2A-D009190,Myelodysplastic Syndromes,ACVR2A,Phase II,True,True,False,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000121989
143,ACVR2A-D012010,"Red-Cell Aplasia, Pure",ACVR2A,Phase II,True,True,False,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000121989
144,ACVR2A-D013921,Thrombocytopenia,ACVR2A,Phase II,True,True,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000121989
145,ACVR2B-D000690,Amyotrophic Lateral Sclerosis,ACVR2B,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000114739
146,ACVR2B-D000740,Anemia,ACVR2B,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000114739
147,ACVR2B-D009133,Muscular Atrophy,ACVR2B,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000114739
148,ACVR2B-D009134,"Muscular Atrophy, Spinal",ACVR2B,Phase I,True,False,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000114739
